类别,中文/英文俗名,学名,灭绝时期/年份,主要分布,感官重建潜力评分,音乐层叠潜力评分,数据可用性,3D模型参考链接,灭绝原因分析,备注（paleo-data / 项目相关性）
Mammals,Falkland Islands Wolf,Dusicyon australis,1876,福克兰群岛,7,6,Medium,"Sketchfab ""Falkland Wolf""",人类+犬类疾病,-
Birds,渡渡鸟 / Dodo,Raphus cucullatus,17世纪晚期,毛里求斯,9,8,High,"Sketchfab ""Dodo""",狩猎+入侵,AR经典案例
Birds,旅鸽 / Passenger Pigeon,Ectopistes migratorius,1914,北美,10,10,High,"Sketchfab ""Passenger Pigeon""",过度狩猎+栖息地,群体迁徙声音层叠极高
Birds,细嘴杓鹬 / Slender-billed Curlew,Numenius tenuirostris,1995（2025确认）,西伯利亚/欧洲/非洲,8,9,High,"Sketchfab ""Curlew""",栖息地+狩猎（2025新增）,迁徙叫声录音
Birds,ʻŌʻū / Ou,Psittirostra psittacea,2024,夏威夷,8,8,Medium,"Sketchfab ""Honeycreeper""",疾病+栖息地（2024确认）,-
Birds,大海雀 / Great Auk,Pinguinus impennis,1852,北大西洋,9,9,High,"Sketchfab ""Great Auk""",狩猎,海洋声音
Birds,拉布拉多鸭 / Labrador Duck,Camptorhynchus labradorius,~1878,北美东北,7,7,Medium,"Sketchfab ""Labrador Duck""",狩猎,-
Birds,阿拉奥特鸊鷉 / Alaotra Grebe,Tachybaptus rufolavatus,1985,马达加斯加,6,6,Low,"Sketchfab ""Grebe""",栖息地+入侵,-
Birds,夏威夷乌鸦 / Hawaiian Crow,Corvus hawaiiensis,2002（野外）,夏威夷,8,8,High,San Diego Zoo recordings,入侵+疾病,录音丰富
Birds,卡罗来纳长尾鹦鹉 / Carolina Parakeet,Conuropsis carolinensis,~1930,北美东南,7,8,Medium,"Sketchfab ""Parakeet""",狩猎+疾病,-
Birds,帝王啄木鸟 / Imperial Woodpecker,Campephilus imperialis,20世纪晚期,墨西哥,7,7,Medium,"Sketchfab ""Woodpecker""",森林砍伐,-
Birds,Bachman’s Warbler,Vermivora bachmanii,~2023确认,美国东南,6,7,Medium,"Sketchfab ""Warbler""",栖息地丧失,录音存在
Birds,Paradise Parrot,Psephotellus pulcherrimus,1928,澳大利亚东部,7,7,Medium,Australian Museum,干旱+放牧,-
Birds,Laughing Owl,Ninox albifacies,~1914,新西兰,8,9,High,"Sketchfab ""Laughing Owl""",入侵+栖息地,独特笑声录音
Birds,Heath Hen,Tympanuchus cupido cupido,1932,北美,7,7,Medium,Smithsonian models,狩猎+栖息地,-
Reptiles,平塔巨龟 / Pinta Giant Tortoise,Chelonoidis abingdonii,2015,加拉帕戈斯,9,6,High,"Sketchfab ""Giant Tortoise""",狩猎+引入动物,“Lonesome George”最后一只
Reptiles,留尼汪巨龟 / Réunion Giant Tortoise,Cylindraspis indica,18世纪,留尼汪岛,7,5,Medium,Mauritius museum,狩猎+引入,-
Reptiles,毛里求斯穹顶巨龟 / Domed Mauritius Giant Tortoise,Cylindraspis triserrata,18世纪,毛里求斯,7,5,Medium,"Sketchfab ""Tortoise""",殖民影响,-
Reptiles,Rodrigues Giant Tortoise,Cylindraspis peltastes,1800s,罗德里格斯岛,7,5,Medium,Rodrigues models,狩猎+栖息地,-
Reptiles,圆岛掘穴蟒 / Round Island Burrowing Boa,Bolyeria multocarinata,1975,毛里求斯,6,5,Medium,"Sketchfab ""Boa""",栖息地退化,-
Reptiles,Delcourt's Giant Gecko,Hoplodactylus delcourti,~1870,新西兰,7,6,Medium,Museum casts,人类捕杀,最大壁虎
Amphibians,金蟾 / Golden Toad,Incilius periglenes,1989（2019确认）,哥斯达黎加,7,6,High,"Sketchfab ""Golden Toad""",壶菌病+气候,真菌+气候经典案例
Amphibians,云南湖蝾螈 / Yunnan Lake Newt,Cynops wolterstorffi,1979,中国云南,6,5,Low,Chinese museum,污染+栖息地,-
Amphibians,山雾蛙 / Mountain Mist Frog,Litoria nyakalensis,2021,澳大利亚,6,5,Low,"Sketchfab ""Mist Frog""",壶菌病,-
Fishes,中国匙吻鲟 / Chinese Paddlefish,Psephurus gladius,~2010（2019确认）,长江,6,5,Medium,"Sketchfab ""Paddlefish""",筑坝+捕捞,-
Fishes,Smooth Handfish,Sympterichthys unipennis,2020,澳大利亚,5,4,Low,Australian museum scans,栖息地破坏,-
Invertebrates,Xerces Blue Butterfly,Glaucopsyche xerces,1940s,美国,5,5,Medium,"Sketchfab ""Xerces Blue""",城市化+栖息地,首例美国灭绝蝴蝶
