scientific_name,common_name,common_name_zh,category,extinction_year,extinction_period_raw,extinction_location,description,image_url,pharm_related,pharm_notes,human_intervention_summary,main_causes,wikipedia_url,sensory_reconstruction_score,music_layering_score,data_availability,model_3d_reference,internal_notes
Thylacinus cynocephalus,Thylacine,袋狼,Mammals,1936,1936,澳大利亚/塔斯马尼亚,[Mammals] Thylacine (Thylacinus cynocephalus). Historic range: 澳大利亚/塔斯马尼亚. 项目提及，最后一只录音存在,,false,No direct pharmaceutical use. Loss of genetic diversity limits future biobank and comparative physiology research; de-extinction debate touches biotech governance rather than proven drug leads.,狩猎+栖息地+疾病. (狩猎→hunting; 栖息地→habitat loss),狩猎+栖息地+疾病,https://en.wikipedia.org/wiki/Thylacinus_cynocephalus,10,10,high,"Sketchfab ""Thylacine""",项目提及，最后一只录音存在
Hydrodamalis gigas,Steller's Sea Cow,斯特勒海牛,Mammals,1768,1768,白令海,[Mammals] Steller's Sea Cow (Hydrodamalis gigas). Historic range: 白令海. 海洋低频声音,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",过度狩猎. (狩猎→hunting; 过度→overexploitation),过度狩猎,https://en.wikipedia.org/wiki/Hydrodamalis_gigas,8,7,medium,"Sketchfab ""Steller's Sea Cow""",海洋低频声音
Melomys rubicola,Bramble Cay Melomys,布兰布尔凯鼠,Mammals,2016,2016,澳大利亚,[Mammals] Bramble Cay Melomys (Melomys rubicola). Historic range: 澳大利亚. 首个气候变化哺乳动物记录,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",气候+海平面. (气候→climate change),气候+海平面,https://en.wikipedia.org/wiki/Melomys_rubicola,7,6,medium,"Sketchfab ""Melomys""",首个气候变化哺乳动物记录
Crocidura trichura,Christmas Island Shrew,圣诞岛鼩,Mammals,1985,1985（2025确认）,圣诞岛,[Mammals] Christmas Island Shrew (Crocidura trichura). Historic range: 圣诞岛. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵+疾病（2025新增）. (入侵→invasive species),入侵+疾病（2025新增）,https://en.wikipedia.org/wiki/Crocidura_trichura,6,5,medium,"Sketchfab ""Shrew""",-
Potorous platyops,Broad-faced Potoroo,宽脸袋鼠,Mammals,1875,1875,澳大利亚,[Mammals] Broad-faced Potoroo (Potorous platyops). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狐狸+栖息地破坏. (栖息地→habitat loss),狐狸+栖息地破坏,https://en.wikipedia.org/wiki/Potorous_platyops,7,6,medium,"Sketchfab ""Potoroo""",-
Perameles papillon,Nullarbor Barred Bandicoot,,Mammals,1920,~1920s（2025确认）,澳大利亚,[Mammals] Nullarbor Barred Bandicoot (Perameles papillon). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地+捕食（2025新增）. (栖息地→habitat loss),栖息地+捕食（2025新增）,https://en.wikipedia.org/wiki/Perameles_papillon,6,5,medium,"Sketchfab ""Bandicoot""",-
Perameles myosuros,Southern Long-nosed Bandicoot,,Mammals,2025,19世纪晚期（2025确认）,澳大利亚东南,[Mammals] Southern Long-nosed Bandicoot (Perameles myosuros). Historic range: 澳大利亚东南. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",捕食+栖息地（2025新增）. (栖息地→habitat loss),捕食+栖息地（2025新增）,https://en.wikipedia.org/wiki/Perameles_myosuros,6,5,medium,"Sketchfab ""Bandicoot""",-
Perameles notina,Southeastern Striped Bandicoot,,Mammals,2025,19-20世纪（2025确认）,澳大利亚,[Mammals] Southeastern Striped Bandicoot (Perameles notina). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵捕食者（2025新增）. (入侵→invasive species),入侵捕食者（2025新增）,https://en.wikipedia.org/wiki/Perameles_notina,6,5,medium,"Sketchfab ""Bandicoot""",-
Chaeropus ecaudatus,Southern Pig-footed Bandicoot,,Mammals,1950,~1950s（2025确认）,澳大利亚,[Mammals] Southern Pig-footed Bandicoot (Chaeropus ecaudatus). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵+火 regime变化（2025新增）. (入侵→invasive species),入侵+火 regime变化（2025新增）,https://en.wikipedia.org/wiki/Chaeropus_ecaudatus,6,5,medium,"Sketchfab ""Bandicoot""",-
Chaeropus yirratji,Northern Pig-footed Bandicoot,,Mammals,1930,~1930s（2025确认）,澳大利亚,[Mammals] Northern Pig-footed Bandicoot (Chaeropus yirratji). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵+栖息地（2025新增）. (栖息地→habitat loss; 入侵→invasive species),入侵+栖息地（2025新增）,https://en.wikipedia.org/wiki/Chaeropus_yirratji,6,5,medium,"Sketchfab ""Bandicoot""",-
Zalophus japonicus,Japanese Sea Lion,,Mammals,1950,1950s,日本海,[Mammals] Japanese Sea Lion (Zalophus japonicus). Historic range: 日本海. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+渔业冲突. (狩猎→hunting),狩猎+渔业冲突,https://en.wikipedia.org/wiki/Zalophus_japonicus,7,7,medium,"Sketchfab ""Sea Lion""",-
Diceros bicornis longipes,Western Black Rhinoceros,,Mammals,2011,2011,西非,[Mammals] Western Black Rhinoceros (Diceros bicornis longipes). Historic range: 西非. 角贸易导致,,true,Illegal horn trade driven partly by traditional-medicine demand; extinction illustrates regulatory and enforcement gaps for species exploited for unverified medicinal claims. Conservation pharmacology angle: protect remaining rhino taxa and support evidence-based substitutes.,偷猎. (偷猎→poaching),偷猎,https://en.wikipedia.org/wiki/Diceros_bicornis,8,6,high,"Sketchfab ""Black Rhino""",角贸易导致
Dusicyon australis,Falkland Islands Wolf,,Mammals,1876,1876,福克兰群岛,[Mammals] Falkland Islands Wolf (Dusicyon australis). Historic range: 福克兰群岛. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",人类+犬类疾病. (人类→human activity),人类+犬类疾病,https://en.wikipedia.org/wiki/Dusicyon_australis,7,6,medium,"Sketchfab ""Falkland Wolf""",-
Raphus cucullatus,Dodo,渡渡鸟,Birds,1681,17世纪晚期,毛里求斯,[Birds] Dodo (Raphus cucullatus). Historic range: 毛里求斯. AR经典案例,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+入侵. (狩猎→hunting; 入侵→invasive species),狩猎+入侵,https://en.wikipedia.org/wiki/Raphus_cucullatus,9,8,high,"Sketchfab ""Dodo""",AR经典案例
Ectopistes migratorius,Passenger Pigeon,旅鸽,Birds,1914,1914,北美,[Birds] Passenger Pigeon (Ectopistes migratorius). Historic range: 北美. 群体迁徙声音层叠极高,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",过度狩猎+栖息地. (狩猎→hunting; 栖息地→habitat loss; 过度→overexploitation),过度狩猎+栖息地,https://en.wikipedia.org/wiki/Ectopistes_migratorius,10,10,high,"Sketchfab ""Passenger Pigeon""",群体迁徙声音层叠极高
Numenius tenuirostris,Slender-billed Curlew,细嘴杓鹬,Birds,1995,1995（2025确认）,西伯利亚/欧洲/非洲,[Birds] Slender-billed Curlew (Numenius tenuirostris). Historic range: 西伯利亚/欧洲/非洲. 迁徙叫声录音,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地+狩猎（2025新增）. (狩猎→hunting; 栖息地→habitat loss),栖息地+狩猎（2025新增）,https://en.wikipedia.org/wiki/Numenius_tenuirostris,8,9,high,"Sketchfab ""Curlew""",迁徙叫声录音
Psittirostra psittacea,Ou,ʻŌʻū,Birds,2024,2024,夏威夷,[Birds] Ou (Psittirostra psittacea). Historic range: 夏威夷. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",疾病+栖息地（2024确认）. (栖息地→habitat loss),疾病+栖息地（2024确认）,https://en.wikipedia.org/wiki/Psittirostra_psittacea,8,8,medium,"Sketchfab ""Honeycreeper""",-
Pinguinus impennis,Great Auk,大海雀,Birds,1852,1852,北大西洋,[Birds] Great Auk (Pinguinus impennis). Historic range: 北大西洋. 海洋声音,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎. (狩猎→hunting),狩猎,https://en.wikipedia.org/wiki/Pinguinus_impennis,9,9,high,"Sketchfab ""Great Auk""",海洋声音
Camptorhynchus labradorius,Labrador Duck,拉布拉多鸭,Birds,1878,~1878,北美东北,[Birds] Labrador Duck (Camptorhynchus labradorius). Historic range: 北美东北. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎. (狩猎→hunting),狩猎,https://en.wikipedia.org/wiki/Camptorhynchus_labradorius,7,7,medium,"Sketchfab ""Labrador Duck""",-
Tachybaptus rufolavatus,Alaotra Grebe,阿拉奥特鸊鷉,Birds,1985,1985,马达加斯加,[Birds] Alaotra Grebe (Tachybaptus rufolavatus). Historic range: 马达加斯加. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地+入侵. (栖息地→habitat loss; 入侵→invasive species),栖息地+入侵,https://en.wikipedia.org/wiki/Tachybaptus_rufolavatus,6,6,low,"Sketchfab ""Grebe""",-
Corvus hawaiiensis,Hawaiian Crow,夏威夷乌鸦,Birds,2002,2002（野外）,夏威夷,[Birds] Hawaiian Crow (Corvus hawaiiensis). Historic range: 夏威夷. 录音丰富,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵+疾病. (入侵→invasive species),入侵+疾病,https://en.wikipedia.org/wiki/Corvus_hawaiiensis,8,8,high,San Diego Zoo recordings,录音丰富
Conuropsis carolinensis,Carolina Parakeet,卡罗来纳长尾鹦鹉,Birds,1930,~1930,北美东南,[Birds] Carolina Parakeet (Conuropsis carolinensis). Historic range: 北美东南. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+疾病. (狩猎→hunting),狩猎+疾病,https://en.wikipedia.org/wiki/Conuropsis_carolinensis,7,8,medium,"Sketchfab ""Parakeet""",-
Campephilus imperialis,Imperial Woodpecker,帝王啄木鸟,Birds,1990,20世纪晚期,墨西哥,[Birds] Imperial Woodpecker (Campephilus imperialis). Historic range: 墨西哥. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",森林砍伐,森林砍伐,https://en.wikipedia.org/wiki/Campephilus_imperialis,7,7,medium,"Sketchfab ""Woodpecker""",-
Vermivora bachmanii,Bachman’s Warbler,,Birds,2023,~2023确认,美国东南,[Birds] Bachman’s Warbler (Vermivora bachmanii). Historic range: 美国东南. 录音存在,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地丧失. (栖息地→habitat loss),栖息地丧失,https://en.wikipedia.org/wiki/Vermivora_bachmanii,6,7,medium,"Sketchfab ""Warbler""",录音存在
Psephotellus pulcherrimus,Paradise Parrot,,Birds,1928,1928,澳大利亚东部,[Birds] Paradise Parrot (Psephotellus pulcherrimus). Historic range: 澳大利亚东部. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",干旱+放牧,干旱+放牧,https://en.wikipedia.org/wiki/Psephotellus_pulcherrimus,7,7,medium,Australian Museum,-
Ninox albifacies,Laughing Owl,,Birds,1914,~1914,新西兰,[Birds] Laughing Owl (Ninox albifacies). Historic range: 新西兰. 独特笑声录音,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",入侵+栖息地. (栖息地→habitat loss; 入侵→invasive species),入侵+栖息地,https://en.wikipedia.org/wiki/Ninox_albifacies,8,9,high,"Sketchfab ""Laughing Owl""",独特笑声录音
Tympanuchus cupido cupido,Heath Hen,,Birds,1932,1932,北美,[Birds] Heath Hen (Tympanuchus cupido cupido). Historic range: 北美. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+栖息地. (狩猎→hunting; 栖息地→habitat loss),狩猎+栖息地,https://en.wikipedia.org/wiki/Tympanuchus_cupido,7,7,medium,Smithsonian models,-
Chelonoidis abingdonii,Pinta Giant Tortoise,平塔巨龟,Reptiles,2015,2015,加拉帕戈斯,[Reptiles] Pinta Giant Tortoise (Chelonoidis abingdonii). Historic range: 加拉帕戈斯. “Lonesome George”最后一只,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+引入动物. (狩猎→hunting),狩猎+引入动物,https://en.wikipedia.org/wiki/Chelonoidis_abingdonii,9,6,high,"Sketchfab ""Giant Tortoise""",“Lonesome George”最后一只
Cylindraspis indica,Réunion Giant Tortoise,留尼汪巨龟,Reptiles,1750,18世纪,留尼汪岛,[Reptiles] Réunion Giant Tortoise (Cylindraspis indica). Historic range: 留尼汪岛. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+引入. (狩猎→hunting),狩猎+引入,https://en.wikipedia.org/wiki/Cylindraspis_indica,7,5,medium,Mauritius museum,-
Cylindraspis triserrata,Domed Mauritius Giant Tortoise,毛里求斯穹顶巨龟,Reptiles,1750,18世纪,毛里求斯,[Reptiles] Domed Mauritius Giant Tortoise (Cylindraspis triserrata). Historic range: 毛里求斯. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",殖民影响,殖民影响,https://en.wikipedia.org/wiki/Cylindraspis_triserrata,7,5,medium,"Sketchfab ""Tortoise""",-
Cylindraspis peltastes,Rodrigues Giant Tortoise,,Reptiles,1800,1800s,罗德里格斯岛,[Reptiles] Rodrigues Giant Tortoise (Cylindraspis peltastes). Historic range: 罗德里格斯岛. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+栖息地. (狩猎→hunting; 栖息地→habitat loss),狩猎+栖息地,https://en.wikipedia.org/wiki/Cylindraspis_peltastes,7,5,medium,Rodrigues models,-
Bolyeria multocarinata,Round Island Burrowing Boa,圆岛掘穴蟒,Reptiles,1975,1975,毛里求斯,[Reptiles] Round Island Burrowing Boa (Bolyeria multocarinata). Historic range: 毛里求斯. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地退化. (栖息地→habitat loss),栖息地退化,https://en.wikipedia.org/wiki/Bolyeria_multocarinata,6,5,medium,"Sketchfab ""Boa""",-
Hoplodactylus delcourti,Delcourt's Giant Gecko,,Reptiles,1870,~1870,新西兰,[Reptiles] Delcourt's Giant Gecko (Hoplodactylus delcourti). Historic range: 新西兰. 最大壁虎,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",人类捕杀. (人类→human activity),人类捕杀,https://en.wikipedia.org/wiki/Hoplodactylus_delcourti,7,6,medium,Museum casts,最大壁虎
Incilius periglenes,Golden Toad,金蟾,Amphibians,1989,1989（2019确认）,哥斯达黎加,[Amphibians] Golden Toad (Incilius periglenes). Historic range: 哥斯达黎加. 真菌+气候经典案例,,false,Amphibian pathogens are central to One Health and emerging infectious disease research; extinction underscores links between ecosystem health and biomedical surveillance (not direct drug sourcing from this species).,壶菌病+气候. (气候→climate change),壶菌病+气候,https://en.wikipedia.org/wiki/Incilius_periglenes,7,6,high,"Sketchfab ""Golden Toad""",真菌+气候经典案例
Cynops wolterstorffi,Yunnan Lake Newt,云南湖蝾螈,Amphibians,1979,1979,中国云南,[Amphibians] Yunnan Lake Newt (Cynops wolterstorffi). Historic range: 中国云南. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",污染+栖息地. (栖息地→habitat loss; 污染→pollution),污染+栖息地,https://en.wikipedia.org/wiki/Cynops_wolterstorffi,6,5,low,Chinese museum,-
Litoria nyakalensis,Mountain Mist Frog,山雾蛙,Amphibians,2021,2021,澳大利亚,[Amphibians] Mountain Mist Frog (Litoria nyakalensis). Historic range: 澳大利亚. -,,false,Amphibian pathogens are central to One Health and emerging infectious disease research; extinction underscores links between ecosystem health and biomedical surveillance (not direct drug sourcing from this species).,壶菌病,壶菌病,https://en.wikipedia.org/wiki/Litoria_nyakalensis,6,5,low,"Sketchfab ""Mist Frog""",-
Psephurus gladius,Chinese Paddlefish,中国匙吻鲟,Fishes,2010,~2010（2019确认）,长江,[Fishes] Chinese Paddlefish (Psephurus gladius). Historic range: 长江. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",筑坝+捕捞. (筑坝→damming; 捕捞→overfishing),筑坝+捕捞,https://en.wikipedia.org/wiki/Psephurus_gladius,6,5,medium,"Sketchfab ""Paddlefish""",-
Sympterichthys unipennis,Smooth Handfish,,Fishes,2020,2020,澳大利亚,[Fishes] Smooth Handfish (Sympterichthys unipennis). Historic range: 澳大利亚. -,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",栖息地破坏. (栖息地→habitat loss),栖息地破坏,https://en.wikipedia.org/wiki/Sympterichthys_unipennis,5,4,low,Australian museum scans,-
Glaucopsyche xerces,Xerces Blue Butterfly,,Invertebrates,1940,1940s,美国,[Invertebrates] Xerces Blue Butterfly (Glaucopsyche xerces). Historic range: 美国. 首例美国灭绝蝴蝶,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",城市化+栖息地. (栖息地→habitat loss),城市化+栖息地,https://en.wikipedia.org/wiki/Glaucopsyche_xerces,5,5,medium,"Sketchfab ""Xerces Blue""",首例美国灭绝蝴蝶
Equus quagga quagga,Quagga,斑驴,Mammals,1883,1883,South Africa,[Mammals] Quagga (Equus quagga quagga). Historic range: South Africa. 商业毛皮狩猎案例,,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎取皮+牧场竞争. (狩猎→hunting),狩猎取皮+牧场竞争,https://en.wikipedia.org/wiki/Equus_quagga,7,6,medium,Sketchfab Quagga,商业毛皮狩猎案例
Capra pyrenaica pyrenaica,Pyrenean Ibex,比利牛斯山羊,Mammals,2000,2000,"Pyrenees, Spain","[Mammals] Pyrenean Ibex (Capra pyrenaica pyrenaica). Historic range: Pyrenees, Spain. 克隆尝试案例，现代灭绝",,false,"No direct pharmaceutical use documented. Included to show how anthropogenic drivers (hunting, habitat loss, climate, invasive species) erase potential future natural-product and comparative biology options.",狩猎+栖息地丧失+疾病. (狩猎→hunting; 栖息地→habitat loss),狩猎+栖息地丧失+疾病,https://en.wikipedia.org/wiki/Capra_pyrenaica,8,7,high,Museum specimens,克隆尝试案例，现代灭绝
