row_id,slug,list_source,category,common_name_zh,common_name_en,scientific_name,extinction_summary,region,sensory_reconstruction_score,music_layering_score,data_availability,model_3d_ref,extinction_drivers,notes,pharm_human_hook,verification_note
29,pinguinus-impennis,unified_priority_csv,Birds,大海雀,Great Auk,Pinguinus impennis,1852,北大西洋,9,9,High,"Sketchfab ""Great Auk""",狩猎,海洋声音,,Cross-check extinction date/category on IUCN Red List where applicable.
30,camptorhynchus-labradorius,unified_priority_csv,Birds,拉布拉多鸭,Labrador Duck,Camptorhynchus labradorius,~1878,北美东北,7,7,Medium,"Sketchfab ""Labrador Duck""",狩猎,-,,Cross-check extinction date/category on IUCN Red List where applicable.
31,tachybaptus-rufolavatus,unified_priority_csv,Birds,阿拉奥特鸊鷉,Alaotra Grebe,Tachybaptus rufolavatus,1985,马达加斯加,6,6,Low,"Sketchfab ""Grebe""",栖息地+入侵,-,,Cross-check extinction date/category on IUCN Red List where applicable.
32,corvus-hawaiiensis,unified_priority_csv,Birds,夏威夷乌鸦,Hawaiian Crow,Corvus hawaiiensis,2002（野外）,夏威夷,8,8,High,San Diego Zoo recordings,入侵+疾病,录音丰富,,Cross-check extinction date/category on IUCN Red List where applicable.
33,conuropsis-carolinensis,unified_priority_csv,Birds,卡罗来纳长尾鹦鹉,Carolina Parakeet,Conuropsis carolinensis,~1930,北美东南,7,8,Medium,"Sketchfab ""Parakeet""",狩猎+疾病,-,,Cross-check extinction date/category on IUCN Red List where applicable.
34,campephilus-imperialis,unified_priority_csv,Birds,帝王啄木鸟,Imperial Woodpecker,Campephilus imperialis,20世纪晚期,墨西哥,7,7,Medium,"Sketchfab ""Woodpecker""",森林砍伐,-,,Cross-check extinction date/category on IUCN Red List where applicable.
35,vermivora-bachmanii,unified_priority_csv,Birds,,Bachman’s Warbler,Vermivora bachmanii,~2023确认,美国东南,6,7,Medium,"Sketchfab ""Warbler""",栖息地丧失,录音存在,,Cross-check extinction date/category on IUCN Red List where applicable.
36,psephotellus-pulcherrimus,unified_priority_csv,Birds,,Paradise Parrot,Psephotellus pulcherrimus,1928,澳大利亚东部,7,7,Medium,Australian Museum,干旱+放牧,-,,Cross-check extinction date/category on IUCN Red List where applicable.
37,ninox-albifacies,unified_priority_csv,Birds,,Laughing Owl,Ninox albifacies,~1914,新西兰,8,9,High,"Sketchfab ""Laughing Owl""",入侵+栖息地,独特笑声录音,,Cross-check extinction date/category on IUCN Red List where applicable.
38,tympanuchus-cupido-cupido,unified_priority_csv,Birds,,Heath Hen,Tympanuchus cupido cupido,1932,北美,7,7,Medium,Smithsonian models,狩猎+栖息地,-,,Cross-check extinction date/category on IUCN Red List where applicable.
39,chelonoidis-abingdonii,unified_priority_csv,Reptiles,平塔巨龟,Pinta Giant Tortoise,Chelonoidis abingdonii,2015,加拉帕戈斯,9,6,High,"Sketchfab ""Giant Tortoise""",狩猎+引入动物,“Lonesome George”最后一只,,Cross-check extinction date/category on IUCN Red List where applicable.
40,cylindraspis-indica,unified_priority_csv,Reptiles,留尼汪巨龟,Réunion Giant Tortoise,Cylindraspis indica,18世纪,留尼汪岛,7,5,Medium,Mauritius museum,狩猎+引入,-,,Cross-check extinction date/category on IUCN Red List where applicable.
41,cylindraspis-triserrata,unified_priority_csv,Reptiles,毛里求斯穹顶巨龟,Domed Mauritius Giant Tortoise,Cylindraspis triserrata,18世纪,毛里求斯,7,5,Medium,"Sketchfab ""Tortoise""",殖民影响,-,,Cross-check extinction date/category on IUCN Red List where applicable.
42,cylindraspis-peltastes,unified_priority_csv,Reptiles,,Rodrigues Giant Tortoise,Cylindraspis peltastes,1800s,罗德里格斯岛,7,5,Medium,Rodrigues models,狩猎+栖息地,-,,Cross-check extinction date/category on IUCN Red List where applicable.
43,bolyeria-multocarinata,unified_priority_csv,Reptiles,圆岛掘穴蟒,Round Island Burrowing Boa,Bolyeria multocarinata,1975,毛里求斯,6,5,Medium,"Sketchfab ""Boa""",栖息地退化,-,,Cross-check extinction date/category on IUCN Red List where applicable.
44,hoplodactylus-delcourti,unified_priority_csv,Reptiles,,Delcourt's Giant Gecko,Hoplodactylus delcourti,~1870,新西兰,7,6,Medium,Museum casts,人类捕杀,最大壁虎,,Cross-check extinction date/category on IUCN Red List where applicable.
45,incilius-periglenes,unified_priority_csv,Amphibians,金蟾,Golden Toad,Incilius periglenes,1989（2019确认）,哥斯达黎加,7,6,High,"Sketchfab ""Golden Toad""",壶菌病+气候,真菌+气候经典案例,,Cross-check extinction date/category on IUCN Red List where applicable.
46,cynops-wolterstorffi,unified_priority_csv,Amphibians,云南湖蝾螈,Yunnan Lake Newt,Cynops wolterstorffi,1979,中国云南,6,5,Low,Chinese museum,污染+栖息地,-,,Cross-check extinction date/category on IUCN Red List where applicable.
47,litoria-nyakalensis,unified_priority_csv,Amphibians,山雾蛙,Mountain Mist Frog,Litoria nyakalensis,2021,澳大利亚,6,5,Low,"Sketchfab ""Mist Frog""",壶菌病,-,,Cross-check extinction date/category on IUCN Red List where applicable.
48,psephurus-gladius,unified_priority_csv,Fishes,中国匙吻鲟,Chinese Paddlefish,Psephurus gladius,~2010（2019确认）,长江,6,5,Medium,"Sketchfab ""Paddlefish""",筑坝+捕捞,-,,Cross-check extinction date/category on IUCN Red List where applicable.
49,sympterichthys-unipennis,unified_priority_csv,Fishes,,Smooth Handfish,Sympterichthys unipennis,2020,澳大利亚,5,4,Low,Australian museum scans,栖息地破坏,-,,Cross-check extinction date/category on IUCN Red List where applicable.
50,glaucopsyche-xerces,unified_priority_csv,Invertebrates,,Xerces Blue Butterfly,Glaucopsyche xerces,1940s,美国,5,5,Medium,"Sketchfab ""Xerces Blue""",城市化+栖息地,首例美国灭绝蝴蝶,,Cross-check extinction date/category on IUCN Red List where applicable.
51,conus-lugubris,research_supplement,Invertebrates,忧郁芈螺,Lugubrious cone snail,Conus lugubris,Declared Extinct (IUCN Red List; widely reported in 2025 update press),Cape Verde (marine),,,,,Habitat loss; anthropogenic disturbance (summarize from IUCN assessment),Marine invertebrate; different 3D/audio workflow than vertebrates.,Cone-snail venoms (conotoxins) are a major peptide-drug discovery system; extinction removes a biochemical lineage.,Confirm status and threats on https://www.iucnredlist.org/ (species page).
52,pieris-wollastoni,research_supplement,Insects,马德拉大白蝶,Madeira large white,Pieris wollastoni,Declared Extinct (reported in IUCN 2025 update coverage),Madeira,,,,,Habitat change / loss (verify),Low museum-audio potential; strong for Context (island endemism).,Indirect: insect loss alters plant–pollinator networks relevant to natural product landscapes.,Verify on IUCN Red List species page.
53,lipotes-vexillifer,research_supplement,Mammals,白鲜豚,Baiji,Lipotes vexillifer,Critically Endangered (Possibly Extinct); last robust survey ~2006–2007 (verify),"Yangtze River, China",,,,,"Bycatch, vessel traffic, damming, pollution",Often cited as a cetacean possibly extinct due to human activity; wording must match IUCN category.,Weak direct pharma; strong human-drivers + flagship extinction narrative for Context.,Must quote current IUCN category (CR(PE)) and assessment year.
54,oophaga-speciosa,research_supplement,Amphibians,华丽箭毒蛙,Splendid poison frog,Oophaga speciosa,Extinct (IUCN; last seen ~1992 per common summaries—verify),Western Colombia,,,,,Chytrid (Bd); historic collection/pet trade (verify emphasis),Strong pharm/toxin framing; pairs with golden toad narrative.,Poison frogs: alkaloid sequestration; pharmacology/toxicology model lineage.,IUCN Red List + AmphibiaWeb for dates and threats.
55,melamprosops-phaeosoma,research_supplement,Birds,Poʻouli,Hawaiian honeycreeper (Poʻouli),Melamprosops phaeosoma,Extinct (IUCN; confirm last observation dates),Hawaii,,,,,"Disease, habitat loss, invasive predators (verify)",Complements other Hawaiian forest birds in core list.,Indirect: island disease ecology; conservation genetics lessons.,Confirm exact IUCN justification text.
